iter	Passed	Remaining
567	2912	2215
568	2916	2209
569	2919	2202
570	2922	2195
571	2925	2188
572	2928	2182
573	2931	2175
574	2934	2168
575	2937	2161
576	2939	2155
577	2943	2148
578	2946	2142
579	2949	2135
580	2952	2129
581	2955	2122
582	2958	2115
583	2961	2109
584	2964	2102
585	2967	2096
586	2969	2089
587	2974	2083
588	2977	2077
589	2981	2071
590	2984	2065
591	2987	2058
592	2989	2052
593	2994	2046
594	2997	2040
595	3000	2033
596	3003	2027
597	3006	2021
598	3009	2014
599	3012	2008
600	3015	2001
601	3018	1995
602	3021	1989
603	3024	1982
604	3027	1976
605	3030	1970
606	3033	1964
607	3036	1957
608	3040	1952
609	3043	1945
610	3046	1939
611	3049	1933
612	3052	1926
613	3055	1920
614	3058	1914
615	3061	1908
616	3064	1902
617	3067	1896
618	3070	1889
619	3073	1883
620	3076	1877
621	3079	1871
622	3082	1865
623	3085	1859
624	3088	1853
625	3091	1846
626	3094	1840
627	3097	1834
628	3100	1828
629	3103	1822
630	3105	1816
631	3108	1810
632	3111	1804
633	3114	1798
634	3117	1791
635	3120	1785
636	3123	1779
637	3126	1773
638	3129	1767
639	3131	1761
640	3134	1755
641	3137	1749
642	3140	1743
643	3143	1737
644	3146	1731
645	3149	1725
646	3152	1719
647	3155	1713
648	3158	1707
649	3160	1702
650	3163	1696
651	3166	1690
652	3170	1684
653	3174	1679
654	3177	1673
655	3180	1667
656	3183	1661
657	3186	1656
658	3189	1650
659	3192	1644
660	3195	1638
661	3198	1632
662	3201	1627
663	3204	1621
664	3206	1615
665	3209	1609
666	3212	1604
667	3215	1598
668	3218	1592
669	3221	1586
670	3224	1581
671	3227	1575
672	3230	1569
673	3233	1563
674	3236	1558
675	3239	1552
676	3242	1546
677	3245	1541
678	3247	1535
679	3250	1529
680	3253	1524
681	3256	1518
682	3259	1512
683	3262	1507
684	3265	1501
685	3268	1495
686	3271	1490
687	3274	1484
688	3277	1479
689	3279	1473
690	3283	1468
691	3286	1462
692	3289	1457
693	3292	1451
694	3295	1446
695	3298	1440
696	3301	1435
697	3305	1430
698	3308	1424
699	3311	1419
700	3314	1413
701	3317	1408
702	3320	1402
703	3323	1397
704	3326	1392
705	3329	1386
706	3332	1381
707	3335	1375
708	3338	1370
709	3341	1364
710	3344	1359
711	3347	1354
712	3352	1349
713	3355	1343
714	3358	1338
715	3362	1333
716	3365	1328
717	3369	1323
718	3372	1317
719	3375	1312
720	3377	1307
721	3380	1301
722	3383	1296
723	3387	1291
724	3389	1285
725	3393	1280
726	3397	1275
727	3399	1270
728	3403	1265
729	3406	1259
730	3417	1257
731	3421	1252
732	3425	1247
733	3428	1242
734	3432	1237
735	3434	1232
736	3438	1226
737	3442	1222
738	3445	1216
739	3448	1211
740	3451	1206
741	3454	1201
742	3457	1195
743	3460	1190
744	3463	1185
745	3466	1180
746	3469	1175
747	3473	1170
748	3476	1165
749	3479	1159
750	3483	1154
751	3486	1149
752	3489	1144
753	3493	1139
754	3496	1134
755	3499	1129
756	3502	1124
757	3508	1120
758	3513	1115
759	3523	1112
760	3527	1107
761	3530	1102
762	3533	1097
763	3537	1092
764	3541	1087
765	3544	1082
766	3548	1077
767	3551	1072
768	3554	1067
769	3557	1062
770	3560	1057
771	3563	1052
772	3566	1047
773	3569	1042
774	3573	1037
775	3575	1032
776	3578	1027
777	3581	1022
778	3585	1017
779	3588	1012
780	3590	1006
781	3594	1002
782	3597	997
783	3600	991
784	3604	987
785	3607	982
786	3611	977
787	3614	972
788	3617	967
789	3620	962
790	3623	957
791	3626	952
792	3629	947
793	3632	942
794	3635	937
795	3639	932
796	3642	927
797	3645	922
798	3648	917
799	3651	912
800	3654	907
801	3658	903
802	3660	898
803	3664	893
804	3667	888
805	3670	883
806	3673	878
807	3676	873
808	3682	869
809	3686	864
810	3689	859
811	3692	854
812	3695	849
813	3697	844
814	3700	840
815	3703	835
816	3706	830
817	3709	825
818	3712	820
819	3714	815
820	3717	810
821	3720	805
822	3723	800
823	3726	795
824	3728	790
825	3731	786
826	3734	781
827	3737	776
828	3740	771
829	3743	766
830	3746	761
831	3749	757
832	3752	752
833	3755	747
834	3758	742
835	3761	737
836	3764	733
837	3767	728
838	3771	723
839	3774	718
840	3777	714
841	3780	709
842	3784	704
843	3787	700
844	3790	695
845	3793	690
846	3797	685
847	3800	681
848	3803	676
849	3806	671
850	3809	667
851	3812	662
852	3816	657
853	3819	652
854	3823	648
855	3826	643
856	3829	639
857	3832	634
858	3835	629
859	3839	624
860	3842	620
861	3845	615
862	3848	610
863	3851	606
864	3855	601
865	3858	597
866	3861	592
867	3865	587
868	3868	583
869	3872	578
870	3875	574
871	3878	569
872	3881	564
873	3884	560
874	3888	555
875	3890	550
876	3893	546
877	3897	541
878	3900	536
879	3903	532
880	3906	527
881	3909	523
882	3912	518
883	3916	513
884	3919	509
885	3922	504
886	3925	500
887	3928	495
888	3932	490
889	3935	486
